company_id,row_type,cumulativeFunding_year,cumulativeFunding_value
95,cumulativeFunding,2024,171000000
95,cumulativeFunding,2025,171000000
95,cumulativeFunding,,171000000
96,cumulativeFunding,2016,5000000
96,cumulativeFunding,2017,15000000
96,cumulativeFunding,2018,15000000
96,cumulativeFunding,2019,35000000
96,cumulativeFunding,2020,35000000
96,cumulativeFunding,2021,80500000
96,cumulativeFunding,2022,80500000
96,cumulativeFunding,2023,80500000
96,cumulativeFunding,2024,90500000
96,cumulativeFunding,2025,90500000
96,cumulativeFunding,,90500000
97,cumulativeFunding,2024,1100000
97,cumulativeFunding,2025,1100000
97,cumulativeFunding,,1100000
98,cumulativeFunding,2019,
98,cumulativeFunding,2020,
98,cumulativeFunding,2021,4300000
98,cumulativeFunding,2022,10000000
98,cumulativeFunding,2023,10000000
98,cumulativeFunding,2024,10000000
98,cumulativeFunding,2025,10000000
98,cumulativeFunding,,10000000
103,cumulativeFunding,2011,590000
103,cumulativeFunding,2012,3790000
103,cumulativeFunding,2013,8750000
103,cumulativeFunding,2014,8750000
103,cumulativeFunding,2015,8750000
103,cumulativeFunding,2016,36750000
103,cumulativeFunding,2017,36750000
103,cumulativeFunding,2018,57750000
103,cumulativeFunding,2019,57750000
103,cumulativeFunding,2020,60864875
103,cumulativeFunding,2021,60864875
103,cumulativeFunding,2022,60864875
103,cumulativeFunding,2023,60864875
103,cumulativeFunding,2024,60864875
103,cumulativeFunding,2025,60864875
103,cumulativeFunding,,60864875
104,cumulativeFunding,2021,850000
104,cumulativeFunding,2022,850000
104,cumulativeFunding,2023,850000
104,cumulativeFunding,2024,850000
104,cumulativeFunding,2025,850000
104,cumulativeFunding,,850000
105,cumulativeFunding,2012,350000
105,cumulativeFunding,2013,4350000
105,cumulativeFunding,2014,4350000
105,cumulativeFunding,2015,4350000
105,cumulativeFunding,2016,11350000
105,cumulativeFunding,2017,11350000
105,cumulativeFunding,2018,11350000
105,cumulativeFunding,2019,11350000
105,cumulativeFunding,2020,21350000
105,cumulativeFunding,2021,21350000
105,cumulativeFunding,2022,81350000
105,cumulativeFunding,2023,81350000
105,cumulativeFunding,2024,81350000
105,cumulativeFunding,2025,81350000
105,cumulativeFunding,,81350000
107,cumulativeFunding,2013,230000
107,cumulativeFunding,2014,230000
107,cumulativeFunding,2015,230000
107,cumulativeFunding,2016,230000
107,cumulativeFunding,2017,230000
107,cumulativeFunding,2018,230000
