company_id,row_type,investor_id,investor_name,investor_position
6468,company_investor,12948,Dan Raviv,Co-founder & CTO
6469,company_investor,17645,Shani Toledano,Co-Founder & CEO
6469,company_investor,17646,Assaf Mendelson,Business Development Advisor
6470,company_investor,17647,Aviel  Mazor,CEO
6471,company_investor,17648,Lior  Lingord,Co-founder
6472,company_investor,17649,Alon  Michaeli,CEO
6472,company_investor,10607,David Kalmanson,Co-founder
6472,company_investor,14138,Sigal  Kalmanson Cusnir,Co-founder (No longer with the company)
6473,company_investor,17650,Akiv Solomon,Co-founder & CEO
6473,company_investor,17651,Boris Friedberg,Co-founder (No longer with the company)
6474,company_investor,17652,Rinat Peer,Founder
6475,company_investor,17653,Avraham Mevorah,Founder & CEO
6475,company_investor,17654,Cliff Ritter,CMO
6475,company_investor,17655,Daniel Safirsztein,CTO
6476,company_investor,17656,Amihay Mines,Founder & CEO
6477,company_investor,17657,Eldad Ben Tora,Co-founder & CEO
6478,company_investor,17658,Moshe  Ron,CEO
6478,company_investor,17659,Raanan Gadish,CEO
6479,company_investor,17660,Avital Yachin,Co-founder & CEO
6479,company_investor,17661,Shani Raba,Co-founder & CTO
6476,company_investor,17662,Guy Ben Non,CTO
6476,company_investor,17663,Jon   Sumroy,Non Executive Director and Advisor
6477,company_investor,17664,Gai Havkin,Co-founder & President
6477,company_investor,8880,Ronen Cohen,"CTO, VP R&D"
6480,company_investor,17665,Idan Proshitsky,CEO
6480,company_investor,14399,Yuri Shterenberg,CTO
6480,company_investor,17666,Nadav Voloch,Head of research
6481,company_investor,17667,David  Lewis,CEO
6482,company_investor,17668,Sarel Weinberger,Founder & CEO
6482,company_investor,17669,Assaf Mushkin,Co-founder (No longer with the company)
6481,company_investor,17670,Noam Shapiro,COO
6481,company_investor,17671,Rimma Dechter,CTO
6483,company_investor,5407,Ron Cohen,Co-founder & CEO
6483,company_investor,17672,Sagi Hirsh,Co-founder & CPO
6484,company_investor,17673,Alexander Berin,CTO
6484,company_investor,17674,Lin Lin Sun,VP Sales & Marketing
6484,company_investor,17675,Arnon Kalet,VP of Engineering
6483,company_investor,8396,Avi Cohen,Co-founder & CTO
6483,company_investor,11811,Avi Klinger,CFO
6485,company_investor,17676,Oren  Blustein,CEO
6485,company_investor,17677, Or  Dushi, Chief Architect
6485,company_investor,17678,Ido  Rosenblat,COO
6485,company_investor,17679,Etan  Hayik,CTO
6486,company_investor,17680,David Bellaiche,Co-founder & CEO
6486,company_investor,17681,Avraham Darmon,Co-founder & CTO
6487,company_investor,17682,Maayan Meltzer,Co-founder & CEO
6487,company_investor,17683,Yossi Meiri,Co-founder (No longer with the company)
6487,company_investor,17684,Moran Balik,Chief Marketing Officer
6488,company_investor,17685,Micha Moran,Owner
6489,company_investor,17686,Benny  Landa,Founder & Chairman
6490,company_investor,17394,Oren Dror,Co-founder & CEO
6489,company_investor,17687,Yossi Yayon,Founder & CTO
6489,company_investor,17688,Itay Uncig,CFO
6489,company_investor,17689,Adi Goldansky,HR Director
6490,company_investor,17690,Amit Halawa,Co-founder
6490,company_investor,17691,Idit Rozenblum,VP Marketing & BD
6491,company_investor,17692,Mark Kanish,Co-founder & CEO
6491,company_investor,17693,Yuval Ron,Co-founder & COO
6491,company_investor,17694,Avi Ben-Shoshan  ,Co-founder & CTO
6492,company_investor,17695,Avner Divon,Chairman & Business Development
6492,company_investor,16613,Uri Weinberg,General Manager
6493,company_investor,17696,Josh Rubin,Co-founder & CEO
6493,company_investor,17697,Rafi Cohen,Co-founder & CBO
6493,company_investor,1885,Shimon Lecht,CIO
6494,company_investor,17698,Elad Israeli,Co-founder
6494,company_investor,17699,Dror Levy,Co-founder & Entrepreneur
6495,company_investor,17700,Tal Moskovich,Founder & CEO
6495,company_investor,17701,Tamir Levy,Head of Operations
6496,company_investor,17702,Ofer Judovits,Founder & CEO
6497,company_investor,17703,Brian  Murphy,CEO
6497,company_investor,17704,Harold Jacob,CMO
6497,company_investor,17705,Itai Levinson,SVP Sales & Marketing
6497,company_investor,17706,Amir Rippel,VP Marketing
6498,company_investor,9940,Tamar Rucham,CEO
6498,company_investor,17707,Gal Weisman,CTO
6498,company_investor,17708,Steven Shamah,Advisor
6498,company_investor,17709,Tom Konikoff,Advisor
6499,company_investor,15389,Ron Rymon,Founder
6500,company_investor,17710,Ran Goshen,"Founder, Chairman & CMO"
6500,company_investor,17711,Amir Inditzky,CEO
6500,company_investor,17712,Ohad Young,Chief Technology and Product Officer
6500,company_investor,17713,Michael Hough,General Manager North America
6501,company_investor,17714,Matan Naftali,Founder & CEO
6501,company_investor,17715,Adi  Baram,"Founder, VP R&D"
6501,company_investor,17716,Dana Shachaf Hazan,Operations Manager
6502,company_investor,17717,Shai Erlichman,Founder
6502,company_investor,17718,Hod Ben Yada,Co-founder
6502,company_investor,17719,Tal Dotan,CTO
6503,company_investor,17720,Joel Burlin,Founder
6503,company_investor,17721,Inbar Lev-Ari,COO
6504,company_investor,17722,Ilan Tochner,Co-founder & CEO
6504,company_investor,17723,Oren Hurvitz,Co-founder & VP R&D
6505,company_investor,17724,Ronnie Zohar,Founder
6506,company_investor,17725,Bibi Rosenbach,Co-founder & CEO
6506,company_investor,1923,Amir Naftali,"CTO, & VP Engineering"
6506,company_investor,17726,Ophir Shalitin,VP Marketing
6506,company_investor,17727,Igor Iris,VP R&D
6507,company_investor,17728,Isaac Litman,Co-founder & CEO
6508,company_investor,17729,Barak Avitbul ,CEO
6508,company_investor,17730,Moishi Kramer,Founder & CTO
6507,company_investor,17731,Shimon Steinberger,CTO
